date,day_of_week,title,category,type
2025-03-12,Wednesday,Custom Connectors in Data Factory,Advanced,Educational
2025-03-13,Thursday,Fabric Workload Development Kit,Advanced,Educational
2025-03-14,Friday,Tutorial: End-to-End Sales Analytics in Fabric,Tutorial,Educational
2025-03-15,Saturday,Tutorial: Real-Time IoT Dashboard in Fabric,Tutorial,Educational
2025-03-16,Sunday,Tutorial: Customer 360 with Fabric Data Science,Tutorial,Educational
2025-03-17,Monday,DP-600 Exam Guide: Fabric Analytics Engineer,Certification,Educational
2025-03-18,Tuesday,DP-700 Exam Guide: Fabric Data Engineer,Certification,Educational
2025-03-19,Wednesday,Fabric Certification Study Plan: 30-Day Guide,Certification,Educational
2025-03-20,Thursday,Top Fabric Community Resources for Developers,Community,Educational
2025-03-21,Friday,Fabric User Groups: Connecting with Peers,Community,Educational
2025-03-22,Saturday,Contributing to Fabric Open Source Projects,Community,Educational
2025-03-23,Sunday,Troubleshooting Spark Job Failures in Fabric,Troubleshooting,Educational
2025-03-24,Monday,Debugging Pipeline Errors in Data Factory,Troubleshooting,Educational
2025-03-25,Tuesday,Performance Diagnostics for Slow Queries,Troubleshooting,Educational
2025-03-26,Wednesday,Getting Started with OneLake: Your First Data Lake,OneLake,Educational
2025-03-27,Thursday,"OneLake Shortcuts Deep Dive: ADLS, S3, and GCS",OneLake,Educational
2025-03-28,Friday,OneLake Security Best Practices for Enterprise,OneLake,Educational
2025-03-29,Saturday,Building Your First Lakehouse in Microsoft Fabric,Lakehouse,Educational
2025-03-30,Sunday,Delta Tables vs Files: When to Use Each in Lakehouse,Lakehouse,Educational
2025-03-31,Monday,FabCon 2025 Day 1: Copilot and AI Now Available for All Paid SKUs,Announcement,Milestone
2025-04-01,Tuesday,FabCon 2025 Day 2: OneLake Security Unified Access Control,Announcement,Milestone
2025-04-02,Wednesday,FabCon 2025 Day 3: Azure AI Foundry Agentic AI Integration,Announcement,Milestone
2025-04-03,Thursday,FabCon 2025 Recap: Azure Key Vault in Data Factory,Feature Release,Milestone
2025-04-04,Friday,Lakehouse Performance Tuning: V-Order and Optimization,Lakehouse,Educational
2025-04-05,Saturday,Migration Assistant for Fabric Data Warehouse Preview,Feature Release,Milestone
2025-04-06,Sunday,Apache Spark in Fabric: Architecture Overview,Data Engineering,Educational
2025-04-07,Monday,PySpark Best Practices for Fabric Notebooks,Data Engineering,Educational
2025-04-08,Tuesday,Notebook Development Patterns: Modular Code Design,Data Engineering,Educational
2025-04-09,Wednesday,Data Factory Pipelines: Copy Activity Mastery,Data Factory,Educational
2025-04-10,Thursday,Power BI DataViz World Championship Winners,Announcement,Milestone
2025-04-11,Friday,Dataflows Gen2: Power Query at Scale,Data Factory,Educational
2025-04-12,Saturday,Pipeline Orchestration: Activities and Triggers,Data Factory,Educational
2025-04-13,Sunday,Fabric Data Warehouse: T-SQL for Analytics,Data Warehouse,Educational
2025-04-14,Monday,Warehouse Performance: Distribution and Indexing,Data Warehouse,Educational
2025-04-15,Tuesday,Cross-Database Queries in Fabric Warehouse,Data Warehouse,Educational
2025-04-16,Wednesday,Machine Learning in Fabric: Experiments and Models,Data Science,Educational
2025-04-17,Thursday,MLflow Integration: Tracking Experiments in Fabric,Data Science,Educational
2025-04-18,Friday,AutoML in Fabric: No-Code Model Training,Data Science,Educational
2025-04-19,Saturday,Eventstreams: Real-Time Data Ingestion in Fabric,Real-Time Intelligence,Educational
2025-04-20,Sunday,KQL Database: Querying Streaming Data,Real-Time Intelligence,Educational
2025-04-21,Monday,Data Activator: Automated Alerts and Actions,Real-Time Intelligence,Educational
2025-04-22,Tuesday,Direct Lake Mode: The Best of Import and DirectQuery,Power BI,Educational
2025-04-23,Wednesday,Semantic Models in Fabric: Design Patterns,Power BI,Educational
2025-04-24,Thursday,Power BI Composite Models with OneLake,Power BI,Educational
2025-04-25,Friday,Fabric Capacity Management: CUs and Throttling,Administration,Educational
2025-04-26,Saturday,Workspace Administration: Roles and Permissions,Administration,Educational
2025-04-27,Sunday,Monitoring Fabric: Capacity Metrics App,Administration,Educational
2025-04-28,Monday,Git Integration in Fabric: Version Control Basics,DevOps,Educational
2025-04-29,Tuesday,CI/CD Pipelines for Fabric: Deployment Automation,DevOps,Educational
2025-04-30,Wednesday,Fabric REST APIs: Automating Administration,DevOps,Educational
2025-05-01,Thursday,Microsoft Fabric May 2025 Feature Summary,Monthly Update,Milestone
2025-05-02,Friday,Copilot in Power BI: Natural Language Analytics,AI/Copilot,Educational
2025-05-03,Saturday,AI Skills in Fabric: Building Custom Agents,AI/Copilot,Educational
2025-05-04,Sunday,Azure OpenAI Integration with Fabric Data,AI/Copilot,Educational
2025-05-05,Monday,Migrating from Azure Synapse to Fabric,Migration,Educational
2025-05-06,Tuesday,Power BI to Fabric: Upgrade Path Guide,Migration,Educational
2025-05-07,Wednesday,Azure Data Factory to Fabric Data Factory Migration,Migration,Educational
2025-05-08,Thursday,Row-Level Security in Fabric Semantic Models,Security,Educational
2025-05-09,Friday,Microsoft Purview with Fabric: Data Governance,Governance,Educational
2025-05-10,Saturday,Sensitivity Labels in Fabric: Information Protection,Security,Educational
2025-05-11,Sunday,"Fabric Medallion Architecture: Bronze, Silver, Gold",Best Practices,Educational
2025-05-12,Monday,Cost Optimization in Fabric: Capacity Planning,Best Practices,Educational
2025-05-13,Tuesday,Multi-Tenant Fabric Architectures,Best Practices,Educational
2025-05-14,Wednesday,Azure Data Lake Storage Gen2 with Fabric,Integration,Educational
2025-05-15,Thursday,Databricks Unity Catalog and Fabric Shortcuts,Integration,Educational
2025-05-16,Friday,Snowflake Mirroring in Fabric,Integration,Educational
2025-05-17,Saturday,Spark Structured Streaming in Fabric,Advanced,Educational
2025-05-18,Sunday,Custom Connectors in Data Factory,Advanced,Educational
2025-05-19,Monday,Build 2025: Fabric Roadmap Tool Introduction,Announcement,Milestone
2025-05-20,Tuesday,Build 2025: Translytical Workflows in Power BI,Announcement,Milestone
2025-05-21,Wednesday,Build 2025: Cosmos DB Integration Private Preview,Announcement,Milestone
2025-05-22,Thursday,Fabric Workload Development Kit,Advanced,Educational
2025-05-23,Friday,Tutorial: End-to-End Sales Analytics in Fabric,Tutorial,Educational
2025-05-24,Saturday,Tutorial: Real-Time IoT Dashboard in Fabric,Tutorial,Educational
2025-05-25,Sunday,Tutorial: Customer 360 with Fabric Data Science,Tutorial,Educational
2025-05-26,Monday,DP-600 Exam Guide: Fabric Analytics Engineer,Certification,Educational
2025-05-27,Tuesday,DP-700 Exam Guide: Fabric Data Engineer,Certification,Educational
2025-05-28,Wednesday,Fabric Certification Study Plan: 30-Day Guide,Certification,Educational
2025-05-29,Thursday,Top Fabric Community Resources for Developers,Community,Educational
2025-05-30,Friday,Fabric User Groups: Connecting with Peers,Community,Educational
2025-05-31,Saturday,Contributing to Fabric Open Source Projects,Community,Educational
2025-06-01,Sunday,Microsoft Fabric June 2025 Feature Summary,Monthly Update,Milestone
2025-06-02,Monday,Troubleshooting Spark Job Failures in Fabric,Troubleshooting,Educational
2025-06-03,Tuesday,Debugging Pipeline Errors in Data Factory,Troubleshooting,Educational
2025-06-04,Wednesday,Performance Diagnostics for Slow Queries,Troubleshooting,Educational
2025-06-05,Thursday,Getting Started with OneLake: Your First Data Lake,OneLake,Educational
2025-06-06,Friday,"OneLake Shortcuts Deep Dive: ADLS, S3, and GCS",OneLake,Educational
2025-06-07,Saturday,OneLake Security Best Practices for Enterprise,OneLake,Educational
2025-06-08,Sunday,Building Your First Lakehouse in Microsoft Fabric,Lakehouse,Educational
2025-06-09,Monday,Delta Tables vs Files: When to Use Each in Lakehouse,Lakehouse,Educational
2025-06-10,Tuesday,Lakehouse Performance Tuning: V-Order and Optimization,Lakehouse,Educational
2025-06-11,Wednesday,Apache Spark in Fabric: Architecture Overview,Data Engineering,Educational
2025-06-12,Thursday,PySpark Best Practices for Fabric Notebooks,Data Engineering,Educational
2025-06-13,Friday,Notebook Development Patterns: Modular Code Design,Data Engineering,Educational
2025-06-14,Saturday,Data Factory Pipelines: Copy Activity Mastery,Data Factory,Educational
2025-06-15,Sunday,Dataflows Gen2: Power Query at Scale,Data Factory,Educational
2025-06-16,Monday,Pipeline Orchestration: Activities and Triggers,Data Factory,Educational
2025-06-17,Tuesday,Fabric Data Warehouse: T-SQL for Analytics,Data Warehouse,Educational
2025-06-18,Wednesday,Warehouse Performance: Distribution and Indexing,Data Warehouse,Educational
2025-06-19,Thursday,Cross-Database Queries in Fabric Warehouse,Data Warehouse,Educational
2025-06-20,Friday,Machine Learning in Fabric: Experiments and Models,Data Science,Educational
2025-06-21,Saturday,MLflow Integration: Tracking Experiments in Fabric,Data Science,Educational
2025-06-22,Sunday,AutoML in Fabric: No-Code Model Training,Data Science,Educational
2025-06-23,Monday,Eventstreams: Real-Time Data Ingestion in Fabric,Real-Time Intelligence,Educational
2025-06-24,Tuesday,KQL Database: Querying Streaming Data,Real-Time Intelligence,Educational
2025-06-25,Wednesday,Data Activator: Automated Alerts and Actions,Real-Time Intelligence,Educational
2025-06-26,Thursday,Direct Lake Mode: The Best of Import and DirectQuery,Power BI,Educational
2025-06-27,Friday,Semantic Models in Fabric: Design Patterns,Power BI,Educational
2025-06-28,Saturday,Power BI Composite Models with OneLake,Power BI,Educational
2025-06-29,Sunday,Fabric Capacity Management: CUs and Throttling,Administration,Educational
2025-06-30,Monday,Workspace Administration: Roles and Permissions,Administration,Educational
2025-07-01,Tuesday,Microsoft Fabric July 2025 Feature Summary,Monthly Update,Milestone
2025-07-02,Wednesday,Monitoring Fabric: Capacity Metrics App,Administration,Educational
2025-07-03,Thursday,Git Integration in Fabric: Version Control Basics,DevOps,Educational
2025-07-04,Friday,CI/CD Pipelines for Fabric: Deployment Automation,DevOps,Educational
2025-07-05,Saturday,Fabric REST APIs: Automating Administration,DevOps,Educational
2025-07-06,Sunday,Copilot in Power BI: Natural Language Analytics,AI/Copilot,Educational
2025-07-07,Monday,AI Skills in Fabric: Building Custom Agents,AI/Copilot,Educational
2025-07-08,Tuesday,Azure OpenAI Integration with Fabric Data,AI/Copilot,Educational
2025-07-09,Wednesday,Migrating from Azure Synapse to Fabric,Migration,Educational
2025-07-10,Thursday,Power BI to Fabric: Upgrade Path Guide,Migration,Educational
2025-07-11,Friday,Azure Data Factory to Fabric Data Factory Migration,Migration,Educational
2025-07-12,Saturday,Row-Level Security in Fabric Semantic Models,Security,Educational
2025-07-13,Sunday,Microsoft Purview with Fabric: Data Governance,Governance,Educational
2025-07-14,Monday,Sensitivity Labels in Fabric: Information Protection,Security,Educational
2025-07-15,Tuesday,"Fabric Medallion Architecture: Bronze, Silver, Gold",Best Practices,Educational
2025-07-16,Wednesday,Cost Optimization in Fabric: Capacity Planning,Best Practices,Educational
2025-07-17,Thursday,Multi-Tenant Fabric Architectures,Best Practices,Educational
2025-07-18,Friday,Azure Data Lake Storage Gen2 with Fabric,Integration,Educational
2025-07-19,Saturday,Databricks Unity Catalog and Fabric Shortcuts,Integration,Educational
2025-07-20,Sunday,Snowflake Mirroring in Fabric,Integration,Educational
2025-07-21,Monday,Spark Structured Streaming in Fabric,Advanced,Educational
2025-07-22,Tuesday,Custom Connectors in Data Factory,Advanced,Educational
2025-07-23,Wednesday,Fabric Workload Development Kit,Advanced,Educational
2025-07-24,Thursday,Tutorial: End-to-End Sales Analytics in Fabric,Tutorial,Educational
2025-07-25,Friday,Tutorial: Real-Time IoT Dashboard in Fabric,Tutorial,Educational
2025-07-26,Saturday,Tutorial: Customer 360 with Fabric Data Science,Tutorial,Educational
2025-07-27,Sunday,DP-600 Exam Guide: Fabric Analytics Engineer,Certification,Educational
2025-07-28,Monday,DP-700 Exam Guide: Fabric Data Engineer,Certification,Educational
2025-07-29,Tuesday,Fabric Certification Study Plan: 30-Day Guide,Certification,Educational
2025-07-30,Wednesday,Top Fabric Community Resources for Developers,Community,Educational
2025-07-31,Thursday,Fabric User Groups: Connecting with Peers,Community,Educational
2025-08-01,Friday,Microsoft Fabric August 2025 Feature Summary,Monthly Update,Milestone
2025-08-02,Saturday,Contributing to Fabric Open Source Projects,Community,Educational
2025-08-03,Sunday,Troubleshooting Spark Job Failures in Fabric,Troubleshooting,Educational
2025-08-04,Monday,Debugging Pipeline Errors in Data Factory,Troubleshooting,Educational
2025-08-05,Tuesday,Performance Diagnostics for Slow Queries,Troubleshooting,Educational
2025-08-06,Wednesday,Getting Started with OneLake: Your First Data Lake,OneLake,Educational
2025-08-07,Thursday,"OneLake Shortcuts Deep Dive: ADLS, S3, and GCS",OneLake,Educational
2025-08-08,Friday,OneLake Security Best Practices for Enterprise,OneLake,Educational
2025-08-09,Saturday,Building Your First Lakehouse in Microsoft Fabric,Lakehouse,Educational
2025-08-10,Sunday,Delta Tables vs Files: When to Use Each in Lakehouse,Lakehouse,Educational
2025-08-11,Monday,Lakehouse Performance Tuning: V-Order and Optimization,Lakehouse,Educational
2025-08-12,Tuesday,Apache Spark in Fabric: Architecture Overview,Data Engineering,Educational
2025-08-13,Wednesday,PySpark Best Practices for Fabric Notebooks,Data Engineering,Educational
2025-08-14,Thursday,Notebook Development Patterns: Modular Code Design,Data Engineering,Educational
2025-08-15,Friday,Data Factory Pipelines: Copy Activity Mastery,Data Factory,Educational
2025-08-16,Saturday,Dataflows Gen2: Power Query at Scale,Data Factory,Educational
2025-08-17,Sunday,Pipeline Orchestration: Activities and Triggers,Data Factory,Educational
2025-08-18,Monday,Fabric Data Warehouse: T-SQL for Analytics,Data Warehouse,Educational
2025-08-19,Tuesday,Warehouse Performance: Distribution and Indexing,Data Warehouse,Educational
2025-08-20,Wednesday,Cross-Database Queries in Fabric Warehouse,Data Warehouse,Educational
2025-08-21,Thursday,Machine Learning in Fabric: Experiments and Models,Data Science,Educational
2025-08-22,Friday,MLflow Integration: Tracking Experiments in Fabric,Data Science,Educational
2025-08-23,Saturday,AutoML in Fabric: No-Code Model Training,Data Science,Educational
2025-08-24,Sunday,Eventstreams: Real-Time Data Ingestion in Fabric,Real-Time Intelligence,Educational
2025-08-25,Monday,KQL Database: Querying Streaming Data,Real-Time Intelligence,Educational
2025-08-26,Tuesday,Data Activator: Automated Alerts and Actions,Real-Time Intelligence,Educational
2025-08-27,Wednesday,Direct Lake Mode: The Best of Import and DirectQuery,Power BI,Educational
2025-08-28,Thursday,Semantic Models in Fabric: Design Patterns,Power BI,Educational
2025-08-29,Friday,Power BI Composite Models with OneLake,Power BI,Educational
2025-08-30,Saturday,Fabric Capacity Management: CUs and Throttling,Administration,Educational
2025-08-31,Sunday,Workspace Administration: Roles and Permissions,Administration,Educational
2025-09-01,Monday,Microsoft Fabric September 2025 Feature Summary,Monthly Update,Milestone
2025-09-02,Tuesday,Monitoring Fabric: Capacity Metrics App,Administration,Educational
2025-09-03,Wednesday,Git Integration in Fabric: Version Control Basics,DevOps,Educational
2025-09-04,Thursday,CI/CD Pipelines for Fabric: Deployment Automation,DevOps,Educational
2025-09-05,Friday,Fabric REST APIs: Automating Administration,DevOps,Educational
2025-09-06,Saturday,Copilot in Power BI: Natural Language Analytics,AI/Copilot,Educational
2025-09-07,Sunday,AI Skills in Fabric: Building Custom Agents,AI/Copilot,Educational
2025-09-08,Monday,Azure OpenAI Integration with Fabric Data,AI/Copilot,Educational
2025-09-09,Tuesday,Migrating from Azure Synapse to Fabric,Migration,Educational
2025-09-10,Wednesday,Autoscale Spark Billing GA,Feature Release,Milestone
2025-09-11,Thursday,Power BI to Fabric: Upgrade Path Guide,Migration,Educational
2025-09-12,Friday,Azure Data Factory to Fabric Data Factory Migration,Migration,Educational
2025-09-13,Saturday,Row-Level Security in Fabric Semantic Models,Security,Educational
2025-09-14,Sunday,Microsoft Purview with Fabric: Data Governance,Governance,Educational
2025-09-15,Monday,High-Concurrency Notebooks GA,Feature Release,Milestone
2025-09-16,Tuesday,Sensitivity Labels in Fabric: Information Protection,Security,Educational
2025-09-17,Wednesday,"Fabric Medallion Architecture: Bronze, Silver, Gold",Best Practices,Educational
2025-09-18,Thursday,Cost Optimization in Fabric: Capacity Planning,Best Practices,Educational
2025-09-19,Friday,Multi-Tenant Fabric Architectures,Best Practices,Educational
2025-09-20,Saturday,Parameterized Connections in Data Factory,Feature Release,Milestone
2025-09-21,Sunday,Azure Data Lake Storage Gen2 with Fabric,Integration,Educational
2025-09-22,Monday,Databricks Unity Catalog and Fabric Shortcuts,Integration,Educational
2025-09-23,Tuesday,Snowflake Mirroring in Fabric,Integration,Educational
2025-09-24,Wednesday,Spark Structured Streaming in Fabric,Advanced,Educational
2025-09-25,Thursday,Custom Connectors in Data Factory,Advanced,Educational
2025-09-26,Friday,Fabric Workload Development Kit,Advanced,Educational
2025-09-27,Saturday,Tutorial: End-to-End Sales Analytics in Fabric,Tutorial,Educational
2025-09-28,Sunday,Tutorial: Real-Time IoT Dashboard in Fabric,Tutorial,Educational
2025-09-29,Monday,Tutorial: Customer 360 with Fabric Data Science,Tutorial,Educational
2025-09-30,Tuesday,DP-600 Exam Guide: Fabric Analytics Engineer,Certification,Educational
2025-10-01,Wednesday,Microsoft Fabric October 2025 Feature Summary,Monthly Update,Milestone
2025-10-02,Thursday,DP-700 Exam Guide: Fabric Data Engineer,Certification,Educational
2025-10-03,Friday,Fabric Certification Study Plan: 30-Day Guide,Certification,Educational
2025-10-04,Saturday,Top Fabric Community Resources for Developers,Community,Educational
2025-10-05,Sunday,Fabric User Groups: Connecting with Peers,Community,Educational
2025-10-06,Monday,Contributing to Fabric Open Source Projects,Community,Educational
2025-10-07,Tuesday,Troubleshooting Spark Job Failures in Fabric,Troubleshooting,Educational
2025-10-08,Wednesday,Debugging Pipeline Errors in Data Factory,Troubleshooting,Educational
2025-10-09,Thursday,Performance Diagnostics for Slow Queries,Troubleshooting,Educational
2025-10-10,Friday,Getting Started with OneLake: Your First Data Lake,OneLake,Educational
2025-10-11,Saturday,"OneLake Shortcuts Deep Dive: ADLS, S3, and GCS",OneLake,Educational
2025-10-12,Sunday,OneLake Security Best Practices for Enterprise,OneLake,Educational
2025-10-13,Monday,Building Your First Lakehouse in Microsoft Fabric,Lakehouse,Educational
2025-10-14,Tuesday,Delta Tables vs Files: When to Use Each in Lakehouse,Lakehouse,Educational
2025-10-15,Wednesday,Fabric CLI Open Source Release,Feature Release,Milestone
2025-10-16,Thursday,Lakehouse Performance Tuning: V-Order and Optimization,Lakehouse,Educational
2025-10-17,Friday,Apache Spark in Fabric: Architecture Overview,Data Engineering,Educational
2025-10-18,Saturday,PySpark Best Practices for Fabric Notebooks,Data Engineering,Educational
2025-10-19,Sunday,Notebook Development Patterns: Modular Code Design,Data Engineering,Educational
2025-10-20,Monday,Data Factory Pipelines: Copy Activity Mastery,Data Factory,Educational
2025-10-21,Tuesday,Dataflows Gen2: Power Query at Scale,Data Factory,Educational
2025-10-22,Wednesday,Pipeline Orchestration: Activities and Triggers,Data Factory,Educational
2025-10-23,Thursday,Fabric Data Warehouse: T-SQL for Analytics,Data Warehouse,Educational
2025-10-24,Friday,Warehouse Performance: Distribution and Indexing,Data Warehouse,Educational
2025-10-25,Saturday,Cross-Database Queries in Fabric Warehouse,Data Warehouse,Educational
2025-10-26,Sunday,Machine Learning in Fabric: Experiments and Models,Data Science,Educational
2025-10-27,Monday,MLflow Integration: Tracking Experiments in Fabric,Data Science,Educational
2025-10-28,Tuesday,AutoML in Fabric: No-Code Model Training,Data Science,Educational
2025-10-29,Wednesday,Eventstreams: Real-Time Data Ingestion in Fabric,Real-Time Intelligence,Educational
2025-10-30,Thursday,KQL Database: Querying Streaming Data,Real-Time Intelligence,Educational
2025-10-31,Friday,Data Activator: Automated Alerts and Actions,Real-Time Intelligence,Educational
2025-11-01,Saturday,Microsoft Fabric November 2025 Feature Summary,Monthly Update,Milestone
2025-11-02,Sunday,Direct Lake Mode: The Best of Import and DirectQuery,Power BI,Educational
2025-11-03,Monday,Semantic Models in Fabric: Design Patterns,Power BI,Educational
2025-11-04,Tuesday,Power BI Composite Models with OneLake,Power BI,Educational
2025-11-05,Wednesday,Fabric Capacity Management: CUs and Throttling,Administration,Educational
2025-11-06,Thursday,Workspace Administration: Roles and Permissions,Administration,Educational
2025-11-07,Friday,Monitoring Fabric: Capacity Metrics App,Administration,Educational
2025-11-08,Saturday,Git Integration in Fabric: Version Control Basics,DevOps,Educational
2025-11-09,Sunday,CI/CD Pipelines for Fabric: Deployment Automation,DevOps,Educational
2025-11-10,Monday,SQL Database in Fabric GA,Feature Release,Milestone
2025-11-11,Tuesday,Fabric REST APIs: Automating Administration,DevOps,Educational
2025-11-12,Wednesday,Copilot in Power BI: Natural Language Analytics,AI/Copilot,Educational
2025-11-13,Thursday,AI Skills in Fabric: Building Custom Agents,AI/Copilot,Educational
2025-11-14,Friday,Azure OpenAI Integration with Fabric Data,AI/Copilot,Educational
2025-11-15,Saturday,Cosmos DB in Fabric GA,Feature Release,Milestone
2025-11-16,Sunday,Migrating from Azure Synapse to Fabric,Migration,Educational
2025-11-17,Monday,Power BI to Fabric: Upgrade Path Guide,Migration,Educational
2025-11-18,Tuesday,Ignite 2025: Major AI Agent Announcements,Announcement,Milestone
2025-11-19,Wednesday,Azure Data Factory to Fabric Data Factory Migration,Migration,Educational
2025-11-20,Thursday,HTTP and MongoDB CDC Connectors,Feature Release,Milestone
2025-11-21,Friday,Row-Level Security in Fabric Semantic Models,Security,Educational
2025-11-22,Saturday,Microsoft Purview with Fabric: Data Governance,Governance,Educational
2025-11-23,Sunday,Sensitivity Labels in Fabric: Information Protection,Security,Educational
2025-11-24,Monday,"Fabric Medallion Architecture: Bronze, Silver, Gold",Best Practices,Educational
2025-11-25,Tuesday,Cost Optimization in Fabric: Capacity Planning,Best Practices,Educational
2025-11-26,Wednesday,Multi-Tenant Fabric Architectures,Best Practices,Educational
2025-11-27,Thursday,Azure Data Lake Storage Gen2 with Fabric,Integration,Educational
2025-11-28,Friday,Databricks Unity Catalog and Fabric Shortcuts,Integration,Educational
2025-11-29,Saturday,Snowflake Mirroring in Fabric,Integration,Educational
2025-11-30,Sunday,Spark Structured Streaming in Fabric,Advanced,Educational
2025-12-01,Monday,Microsoft Fabric December 2025 Feature Summary,Monthly Update,Milestone
2025-12-02,Tuesday,Custom Connectors in Data Factory,Advanced,Educational
2025-12-03,Wednesday,Fabric Workload Development Kit,Advanced,Educational
2025-12-04,Thursday,Tutorial: End-to-End Sales Analytics in Fabric,Tutorial,Educational
2025-12-05,Friday,Tutorial: Real-Time IoT Dashboard in Fabric,Tutorial,Educational
2025-12-06,Saturday,Tutorial: Customer 360 with Fabric Data Science,Tutorial,Educational
2025-12-07,Sunday,DP-600 Exam Guide: Fabric Analytics Engineer,Certification,Educational
2025-12-08,Monday,DP-700 Exam Guide: Fabric Data Engineer,Certification,Educational
2025-12-09,Tuesday,Fabric Certification Study Plan: 30-Day Guide,Certification,Educational
2025-12-10,Wednesday,Top Fabric Community Resources for Developers,Community,Educational
2025-12-11,Thursday,Fabric User Groups: Connecting with Peers,Community,Educational
2025-12-12,Friday,Contributing to Fabric Open Source Projects,Community,Educational
2025-12-13,Saturday,Troubleshooting Spark Job Failures in Fabric,Troubleshooting,Educational
2025-12-14,Sunday,Debugging Pipeline Errors in Data Factory,Troubleshooting,Educational
2025-12-15,Monday,Performance Diagnostics for Slow Queries,Troubleshooting,Educational
2025-12-16,Tuesday,Getting Started with OneLake: Your First Data Lake,OneLake,Educational
2025-12-17,Wednesday,"OneLake Shortcuts Deep Dive: ADLS, S3, and GCS",OneLake,Educational
2025-12-18,Thursday,OneLake Security Best Practices for Enterprise,OneLake,Educational
2025-12-19,Friday,Building Your First Lakehouse in Microsoft Fabric,Lakehouse,Educational
2025-12-20,Saturday,Delta Tables vs Files: When to Use Each in Lakehouse,Lakehouse,Educational
2025-12-21,Sunday,Lakehouse Performance Tuning: V-Order and Optimization,Lakehouse,Educational
2025-12-22,Monday,Apache Spark in Fabric: Architecture Overview,Data Engineering,Educational
2025-12-23,Tuesday,PySpark Best Practices for Fabric Notebooks,Data Engineering,Educational
2025-12-24,Wednesday,Notebook Development Patterns: Modular Code Design,Data Engineering,Educational
2025-12-25,Thursday,Data Factory Pipelines: Copy Activity Mastery,Data Factory,Educational
2025-12-26,Friday,Dataflows Gen2: Power Query at Scale,Data Factory,Educational
2025-12-27,Saturday,Pipeline Orchestration: Activities and Triggers,Data Factory,Educational
2025-12-28,Sunday,Fabric Data Warehouse: T-SQL for Analytics,Data Warehouse,Educational
2025-12-29,Monday,Warehouse Performance: Distribution and Indexing,Data Warehouse,Educational
2025-12-30,Tuesday,Cross-Database Queries in Fabric Warehouse,Data Warehouse,Educational
2025-12-31,Wednesday,Machine Learning in Fabric: Experiments and Models,Data Science,Educational
2026-01-01,Thursday,Microsoft Fabric January 2026 Feature Summary,Monthly Update,Milestone
2026-01-02,Friday,MLflow Integration: Tracking Experiments in Fabric,Data Science,Educational
2026-01-03,Saturday,AutoML in Fabric: No-Code Model Training,Data Science,Educational
2026-01-04,Sunday,Eventstreams: Real-Time Data Ingestion in Fabric,Real-Time Intelligence,Educational
2026-01-05,Monday,KQL Database: Querying Streaming Data,Real-Time Intelligence,Educational
2026-01-06,Tuesday,Data Activator: Automated Alerts and Actions,Real-Time Intelligence,Educational
2026-01-07,Wednesday,Direct Lake Mode: The Best of Import and DirectQuery,Power BI,Educational
2026-01-08,Thursday,Semantic Models in Fabric: Design Patterns,Power BI,Educational
2026-01-09,Friday,Power BI Composite Models with OneLake,Power BI,Educational
2026-01-10,Saturday,Fabric Capacity Management: CUs and Throttling,Administration,Educational
2026-01-11,Sunday,Workspace Administration: Roles and Permissions,Administration,Educational
2026-01-12,Monday,Monitoring Fabric: Capacity Metrics App,Administration,Educational
2026-01-13,Tuesday,Git Integration in Fabric: Version Control Basics,DevOps,Educational
2026-01-14,Wednesday,CI/CD Pipelines for Fabric: Deployment Automation,DevOps,Educational
2026-01-15,Thursday,Cross-Tenant DevOps Support,Feature Release,Milestone
2026-01-16,Friday,Fabric REST APIs: Automating Administration,DevOps,Educational
2026-01-17,Saturday,Copilot in Power BI: Natural Language Analytics,AI/Copilot,Educational
2026-01-18,Sunday,AI Skills in Fabric: Building Custom Agents,AI/Copilot,Educational
2026-01-19,Monday,Azure OpenAI Integration with Fabric Data,AI/Copilot,Educational
2026-01-20,Tuesday,Migrating from Azure Synapse to Fabric,Migration,Educational
2026-01-21,Wednesday,Power BI to Fabric: Upgrade Path Guide,Migration,Educational
2026-01-22,Thursday,Azure Data Factory to Fabric Data Factory Migration,Migration,Educational
2026-01-23,Friday,Row-Level Security in Fabric Semantic Models,Security,Educational
2026-01-24,Saturday,Microsoft Purview with Fabric: Data Governance,Governance,Educational
2026-01-25,Sunday,Sensitivity Labels in Fabric: Information Protection,Security,Educational
2026-01-26,Monday,"Fabric Medallion Architecture: Bronze, Silver, Gold",Best Practices,Educational
2026-01-27,Tuesday,Cost Optimization in Fabric: Capacity Planning,Best Practices,Educational
2026-01-28,Wednesday,Multi-Tenant Fabric Architectures,Best Practices,Educational
2026-01-29,Thursday,Azure Data Lake Storage Gen2 with Fabric,Integration,Educational
2026-01-30,Friday,Databricks Unity Catalog and Fabric Shortcuts,Integration,Educational
2026-01-31,Saturday,Snowflake Mirroring in Fabric,Integration,Educational
2026-02-01,Sunday,Spark Structured Streaming in Fabric,Advanced,Educational
